,Country,Cases
450,Singapore,60943.0
451,Singapore,60966.0
452,Singapore,61006.0
453,Singapore,61051.0
454,Singapore,61063.0
455,Singapore,61086.0
456,Singapore,61121.0
457,Singapore,61145.0
458,Singapore,61179.0
459,Singapore,61218.0
460,Singapore,61235.0
461,Singapore,61252.0
462,Singapore,61268.0
463,Singapore,61286.0
464,Singapore,61311.0
465,Singapore,61331.0
466,Singapore,61359.0
467,Singapore,61378.0
468,Singapore,61403.0
469,Singapore,61419.0
470,Singapore,61453.0
471,Singapore,61505.0
472,Singapore,61536.0
473,Singapore,61585.0
474,Singapore,61613.0
475,Singapore,61651.0
476,Singapore,61689.0
477,Singapore,61730.0
478,Singapore,61770.0
479,Singapore,61799.0
480,Singapore,61824.0
481,Singapore,61860.0
482,Singapore,61890.0
483,Singapore,61916.0
484,Singapore,61940.0
485,Singapore,61970.0
486,Singapore,62003.0
487,Singapore,62028.0
488,Singapore,62051.0
489,Singapore,62069.0
490,Singapore,62100.0
491,Singapore,62145.0
492,Singapore,62158.0
493,Singapore,62176.0
494,Singapore,62196.0
495,Singapore,62210.0
496,Singapore,62219.0
497,Singapore,62223.0
498,Singapore,62236.0
499,Singapore,62245.0
500,Singapore,62263.0
501,Singapore,62276.0
502,Singapore,62301.0
503,Singapore,62315.0
504,Singapore,62339.0
505,Singapore,62366.0
506,Singapore,62382.0
507,Singapore,62403.0
508,Singapore,62414.0
509,Singapore,62430.0
510,Singapore,62448.0
511,Singapore,62470.0
512,Singapore,62493.0
513,Singapore,62513.0
514,Singapore,62530.0
515,Singapore,62544.0
516,Singapore,62553.0
517,Singapore,62563.0
518,Singapore,62579.0
519,Singapore,62589.0
520,Singapore,62599.0
521,Singapore,62606.0
522,Singapore,62617.0
523,Singapore,62630.0
524,Singapore,62640.0
525,Singapore,62652.0
526,Singapore,62668.0
527,Singapore,62678.0
528,Singapore,62684.0
529,Singapore,62692.0
530,Singapore,62718.0
531,Singapore,62744.0
532,Singapore,62804.0
533,Singapore,62852.0
534,Singapore,62913.0
535,Singapore,62981.0
536,Singapore,63073.0
537,Singapore,63245.0
538,Singapore,63440.0
539,Singapore,63621.0
540,Singapore,63791.0
541,Singapore,63924.0
542,Singapore,64054.0
543,Singapore,64179.0
544,Singapore,64314.0
545,Singapore,64453.0
546,Singapore,64589.0
547,Singapore,64722.0
548,Singapore,64861.0
549,Singapore,64981.0
550,Singapore,65102.0
551,Singapore,65213.0
552,Singapore,65315.0
553,Singapore,65410.0
554,Singapore,65508.0
555,Singapore,65605.0
556,Singapore,65686.0
557,Singapore,65764.0
558,Singapore,65836.0
559,Singapore,65890.0
560,Singapore,65953.0
561,Singapore,66012.0
562,Singapore,66061.0
563,Singapore,66119.0
564,Singapore,66172.0
565,Singapore,66225.0
566,Singapore,66281.0
567,Singapore,66334.0
568,Singapore,66366.0
569,Singapore,66406.0
570,Singapore,66443.0
571,Singapore,66478.0
572,Singapore,66576.0
573,Singapore,66692.0
574,Singapore,66812.0
575,Singapore,66928.0
576,Singapore,67050.0
577,Singapore,67171.0
578,Singapore,67304.0
579,Singapore,67459.0
580,Singapore,67620.0
581,Singapore,67800.0
582,Singapore,67991.0
583,Singapore,68210.0
584,Singapore,68469.0
585,Singapore,68660.0
586,Singapore,68901.0
587,Singapore,69233.0
588,Singapore,69582.0
589,Singapore,70039.0
590,Singapore,70612.0
591,Singapore,71167.0
592,Singapore,71687.0
593,Singapore,72294.0
594,Singapore,73131.0
595,Singapore,73938.0
596,Singapore,74848.0
597,Singapore,75783.0
598,Singapore,76792.0
599,Singapore,77804.0
600,Singapore,78721.0
601,Singapore,79899.0
602,Singapore,81356.0
603,Singapore,82860.0
604,Singapore,84510.0
605,Singapore,85953.0
606,Singapore,87892.0
607,Singapore,89539.0
608,Singapore,91775.0
609,Singapore,94043.0
610,Singapore,96521.0
611,Singapore,99430.0
612,Singapore,101786.0
613,Singapore,103843.0
614,Singapore,106318.0
615,Singapore,109804.0
616,Singapore,113381.0
617,Singapore,116864.0
618,Singapore,120454.0
619,Singapore,124157.0
620,Singapore,126966.0
621,Singapore,129229.0
622,Singapore,132205.0
623,Singapore,135395.0
624,Singapore,138327.0
625,Singapore,141772.0
626,Singapore,145120.0
627,Singapore,148178.0
628,Singapore,150731.0
629,Singapore,154725.0
630,Singapore,158587.0
631,Singapore,162026.0
632,Singapore,165663.0
633,Singapore,169261.0
634,Singapore,172644.0
635,Singapore,175818.0
636,Singapore,179095.0
637,Singapore,184419.0
638,Singapore,187851.0
639,Singapore,192099.0
640,Singapore,195211.0
641,Singapore,198374.0
642,Singapore,200844.0
643,Singapore,204340.0
644,Singapore,207975.0
645,Singapore,210978.0
646,Singapore,212745.0
647,Singapore,215780.0
648,Singapore,218333.0
649,Singapore,220803.0
650,Singapore,224200.0
651,Singapore,227681.0
652,Singapore,230077.0
653,Singapore,233176.0
654,Singapore,235480.0
655,Singapore,237203.0
656,Singapore,239272.0
657,Singapore,241341.0
658,Singapore,244815.0
659,Singapore,246853.0
660,Singapore,248587.0
661,Singapore,250518.0
662,Singapore,252188.0
663,Singapore,253649.0
664,Singapore,255431.0
665,Singapore,257510.0
666,Singapore,258785.0
667,Singapore,259875.0
668,Singapore,261636.0
669,Singapore,262383.0
670,Singapore,263486.0
671,Singapore,264725.0
672,Singapore,266049.0
673,Singapore,267150.0
674,Singapore,267916.0
675,Singapore,268659.0
676,Singapore,269211.0
677,Singapore,269873.0
678,Singapore,270588.0
679,Singapore,271297.0
680,Singapore,271979.0
681,Singapore,272433.0
682,Singapore,272992.0
683,Singapore,273362.0
684,Singapore,273701.0
685,Singapore,274143.0
686,Singapore,274617.0
687,Singapore,274972.0
688,Singapore,275384.0
689,Singapore,275655.0
690,Singapore,275910.0
691,Singapore,276105.0
692,Singapore,276385.0
693,Singapore,276720.0
694,Singapore,277042.0
695,Singapore,277307.0
696,Singapore,277555.0
697,Singapore,277764.0
698,Singapore,278044.0
699,Singapore,278409.0
700,Singapore,278750.0
701,Singapore,279061.0
702,Singapore,279405.0
703,Singapore,279861.0
704,Singapore,280290.0
705,Singapore,280754.0
706,Singapore,281596.0
707,Singapore,282401.0
708,Singapore,283214.0
709,Singapore,283991.0
710,Singapore,284802.0
711,Singapore,285647.0
712,Singapore,286397.0
713,Singapore,287243.0
714,Singapore,288125.0
715,Singapore,289085.0
716,Singapore,290030.0
717,Singapore,290986.0
718,Singapore,291849.0
719,Singapore,293014.0
720,Singapore,294462.0
721,Singapore,296077.0
722,Singapore,297549.0
723,Singapore,307813.0
724,Singapore,310276.0
725,Singapore,313772.0
726,Singapore,316774.0
727,Singapore,322770.0
728,Singapore,327602.0
729,Singapore,333071.0
730,Singapore,338625.0
731,Singapore,343832.0
732,Singapore,348330.0
733,Singapore,352811.0
734,Singapore,359075.0
735,Singapore,362176.0
736,Singapore,366473.0
737,Singapore,379681.0
738,Singapore,390071.0
739,Singapore,397823.0
740,Singapore,405629.0
741,Singapore,418640.0
742,Singapore,428954.0
743,Singapore,439640.0
744,Singapore,449570.0
745,Singapore,460075.0
746,Singapore,469495.0
747,Singapore,478577.0
748,Singapore,497997.0
749,Singapore,514880.0
750,Singapore,533425.0
751,Singapore,551519.0
752,Singapore,576355.0
753,Singapore,582638.0
754,Singapore,596261.0
755,Singapore,622293.0
756,Singapore,642605.0
757,Singapore,661198.0
758,Singapore,679795.0
759,Singapore,696652.0
760,Singapore,710880.0
761,Singapore,724424.0
762,Singapore,748504.0
763,Singapore,767663.0
764,Singapore,785825.0
765,Singapore,803389.0
766,Singapore,819663.0
767,Singapore,832821.0
768,Singapore,846341.0
769,Singapore,868542.0
770,Singapore,885593.0
771,Singapore,901758.0
772,Singapore,917103.0
773,Singapore,929735.0
774,Singapore,939436.0
775,Singapore,948478.0
776,Singapore,964329.0
777,Singapore,975607.0
778,Singapore,986320.0
779,Singapore,996914.0
780,Singapore,1007158.0
781,Singapore,1015017.0
782,Singapore,1022555.0
783,Singapore,1035721.0
784,Singapore,1044661.0
785,Singapore,1053139.0
786,Singapore,1060723.0
787,Singapore,1067157.0
788,Singapore,1072005.0
789,Singapore,1076930.0
790,Singapore,1085094.0
791,Singapore,1090823.0
792,Singapore,1096428.0
793,Singapore,1101438.0
794,Singapore,1106001.0
795,Singapore,1109744.0
796,Singapore,1113078.0
797,Singapore,1119419.0
798,Singapore,1123886.0
799,Singapore,1128155.0
800,Singapore,1132169.0
801,Singapore,1135428.0
802,Singapore,1138001.0
803,Singapore,1140569.0
804,Singapore,1145121.0
805,Singapore,1148656.0
806,Singapore,1152177.0
807,Singapore,1155581.0
808,Singapore,1157251.0
809,Singapore,1160300.0
810,Singapore,1162780.0
811,Singapore,1167498.0
812,Singapore,1170970.0
813,Singapore,1174390.0
814,Singapore,1177415.0
815,Singapore,1180124.0
816,Singapore,1182168.0
817,Singapore,1184226.0
818,Singapore,1187914.0
819,Singapore,1190560.0
820,Singapore,1193250.0
821,Singapore,1193250.0
822,Singapore,1195391.0
823,Singapore,1199640.0
824,Singapore,1200976.0
825,Singapore,1202546.0
826,Singapore,1204184.0
827,Singapore,1208917.0
828,Singapore,1212337.0
829,Singapore,1215499.0
830,Singapore,1217922.0
831,Singapore,1220193.0
832,Singapore,1225024.0
833,Singapore,1228914.0
834,Singapore,1232559.0
835,Singapore,1236850.0
836,Singapore,1240233.0
837,Singapore,1242884.0
838,Singapore,1245007.0
839,Singapore,1247671.0
840,Singapore,1254113.0
841,Singapore,1258691.0
842,Singapore,1263033.0
843,Singapore,1266808.0
844,Singapore,1269635.0
845,Singapore,1272386.0
846,Singapore,1278113.0
847,Singapore,1282280.0
848,Singapore,1286216.0
849,Singapore,1290046.0
850,Singapore,1293369.0
851,Singapore,1295920.0
852,Singapore,1298309.0
853,Singapore,1303294.0
854,Singapore,1306871.0
855,Singapore,1310616.0
856,Singapore,1313849.0
857,Singapore,1316728.0
858,Singapore,1318984.0
859,Singapore,1321146.0
860,Singapore,1325623.0
861,Singapore,1329225.0
862,Singapore,1332656.0
863,Singapore,1332656.0
864,Singapore,1338753.0
865,Singapore,1341256.0
866,Singapore,1343645.0
867,Singapore,1348775.0
868,Singapore,1352681.0
869,Singapore,1355801.0
870,Singapore,1364562.0
871,Singapore,1364562.0
872,Singapore,1367761.0
873,Singapore,1370981.0
874,Singapore,1378090.0
875,Singapore,1383952.0
876,Singapore,1390558.0
877,Singapore,1398545.0
878,Singapore,1403242.0
879,Singapore,1408358.0
880,Singapore,1413667.0
881,Singapore,1425171.0
882,Singapore,1434563.0
883,Singapore,1444068.0
884,Singapore,1453155.0
885,Singapore,1461107.0
886,Singapore,1467234.0
887,Singapore,1473180.0
888,Singapore,1485964.0
889,Singapore,1495953.0
890,Singapore,1505938.0
891,Singapore,1515222.0
892,Singapore,1523881.0
893,Singapore,1530304.0
894,Singapore,1534799.0
895,Singapore,1540778.0
896,Singapore,1557648.0
897,Singapore,1569420.0
898,Singapore,1582416.0
899,Singapore,1589099.0
900,Singapore,1596046.0
901,Singapore,1602273.0
902,Singapore,1616067.0
903,Singapore,1626360.0
904,Singapore,1636109.0
905,Singapore,1645092.0
906,Singapore,1652981.0
907,Singapore,1659156.0
908,Singapore,1664707.0
909,Singapore,1677126.0
910,Singapore,1685889.0
911,Singapore,1694454.0
912,Singapore,1707453.0
913,Singapore,1708950.0
914,Singapore,1714056.0
915,Singapore,1718765.0
916,Singapore,1728995.0
917,Singapore,1736226.0
918,Singapore,1742874.0
919,Singapore,1742874.0
920,Singapore,1754777.0
921,Singapore,1759575.0
922,Singapore,1763116.0
923,Singapore,1771081.0
924,Singapore,1773900.0
925,Singapore,1781162.0
926,Singapore,1786643.0
927,Singapore,1791046.0
928,Singapore,1794069.0
929,Singapore,1796734.0
930,Singapore,1801936.0
931,Singapore,1805698.0
932,Singapore,1809251.0
933,Singapore,1809251.0
934,Singapore,1814917.0
935,Singapore,1816868.0
936,Singapore,1818560.0
937,Singapore,1822187.0
938,Singapore,1824832.0
939,Singapore,1827229.0
940,Singapore,1827229.0
941,Singapore,1831332.0
942,Singapore,1832780.0
943,Singapore,1834190.0
944,Singapore,1837090.0
945,Singapore,1839244.0
946,Singapore,1841288.0
947,Singapore,1843236.0
948,Singapore,1844785.0
949,Singapore,1846094.0
950,Singapore,1847270.0
951,Singapore,1850015.0
952,Singapore,1852286.0
953,Singapore,1854455.0
954,Singapore,1854455.0
955,Singapore,1858497.0
956,Singapore,1859937.0
957,Singapore,1861390.0
958,Singapore,1864742.0
959,Singapore,1867168.0
960,Singapore,1869591.0
961,Singapore,1871560.0
962,Singapore,1873290.0
963,Singapore,1874611.0
964,Singapore,1876584.0
965,Singapore,1879806.0
966,Singapore,1882314.0
967,Singapore,1884859.0
968,Singapore,1884859.0
969,Singapore,1889544.0
970,Singapore,1891341.0
971,Singapore,1892947.0
972,Singapore,1897307.0
973,Singapore,1900761.0
974,Singapore,1904102.0
975,Singapore,1904102.0
976,Singapore,1911417.0
977,Singapore,1914280.0
978,Singapore,1916993.0
979,Singapore,1924139.0
980,Singapore,1930062.0
981,Singapore,1936270.0
982,Singapore,1936270.0
983,Singapore,1948402.0
984,Singapore,1953197.0
985,Singapore,1957916.0
986,Singapore,1969648.0
987,Singapore,1979259.0
988,Singapore,1988760.0
989,Singapore,1988760.0
990,Singapore,2005884.0
991,Singapore,2012065.0
992,Singapore,2017261.0
993,Singapore,2029195.0
994,Singapore,2037947.0
995,Singapore,2046123.0
996,Singapore,2046123.0
997,Singapore,2059709.0
998,Singapore,2064163.0
999,Singapore,2067790.0
1000,Singapore,2070784.0
1001,Singapore,2080341.0
1002,Singapore,2086588.0
1003,Singapore,2091751.0
1004,Singapore,2096520.0
1005,Singapore,2099760.0
1006,Singapore,2099760.0
