,location,total_cases,total_deaths,total_vaccinations,total_tests
205,Albania,196611.0,3049.0,2074670.0,1337457.0
206,Albania,199555.0,3089.0,2101039.0,1343423.0
207,Albania,200173.0,3101.0,2130714.0,1345926.0
208,Albania,201045.0,3108.0,2141863.0,1350345.0
209,Albania,201402.0,3109.0,2151065.0,1351785.0
210,Albania,201730.0,3110.0,2161198.0,1354578.0
211,Albania,203215.0,3130.0,2196145.0,1361117.0
212,Albania,203524.0,3132.0,2206089.0,1362953.0
213,Albania,203787.0,3134.0,2216402.0,1366232.0
214,Albania,203925.0,3140.0,2226267.0,1368833.0
215,Albania,204928.0,3156.0,2251010.0,1376616.0
216,Albania,205777.0,3166.0,2270522.0,1384767.0
217,Albania,206273.0,3178.0,2286235.0,1392306.0
218,Albania,207709.0,3194.0,2316606.0,1407760.0
219,Albania,210885.0,3220.0,2356290.0,1435237.0
220,Albania,211220.0,3222.0,2367574.0,1440931.0
221,Albania,214905.0,3233.0,2398207.0,1457363.0
222,Albania,218487.0,3237.0,2410728.0,1467088.0
223,Albania,219694.0,3240.0,2419734.0,1475224.0
224,Albania,255741.0,3334.0,2523683.0,1559750.0
225,Albania,263172.0,3371.0,2634377.0,1573470.0
226,Albania,267551.0,3407.0,2661838.0,1578306.0
227,Albania,268304.0,3414.0,2669695.0,1581095.0
228,Albania,269904.0,3433.0,2683715.0,1585124.0
229,Albania,271314.0,3460.0,2702638.0,1588724.0
230,Albania,272132.0,3479.0,2723146.0,1592470.0
231,Albania,272337.0,3483.0,2729969.0,1595314.0
232,Albania,273529.0,3492.0,2766890.0,1599266.0
233,Albania,274000.0,3492.0,2780674.0,1601568.0
234,Albania,274504.0,3496.0,2801345.0,1604281.0
235,Albania,275485.0,3497.0,2840948.0,1608038.0
236,Albania,277026.0,3497.0,2898881.0,1611843.0
237,Andorra,9549.0,96.0,576.0,140711.0
238,Andorra,9937.0,101.0,1036.0,144987.0
239,Andorra,11042.0,112.0,3611.0,159725.0
240,Andorra,11266.0,113.0,8363.0,162071.0
241,Andorra,12231.0,117.0,15269.0,171485.0
242,Andorra,12545.0,120.0,19064.0,173789.0
243,Andorra,12805.0,123.0,26414.0,177079.0
244,Andorra,13060.0,124.0,28503.0,180633.0
245,Andorra,13282.0,127.0,28881.0,183476.0
246,Andorra,13423.0,127.0,31633.0,186191.0
247,Andorra,13510.0,127.0,32317.0,188280.0
248,Andorra,13693.0,127.0,35916.0,191856.0
249,Andorra,13777.0,127.0,41473.0,193594.0
250,Andorra,13842.0,127.0,63265.0,195713.0
251,Andorra,13882.0,127.0,68329.0,196782.0
252,Andorra,14273.0,127.0,82349.0,201122.0
