,location,total_cases,total_deaths,total_vaccinations,total_tests
1248,Australia,0.0601885327543409,0.007182549242522284,0.017298536084898227,0.007408188376816665
27135,Ukraine,0.027224495545728474,0.054114510640924304,0.0032863906254166253,0.0013326875934915315
23774,South Korea,0.004461947569144313,0.0029526598826501863,0.02426347350929968,0.0037301197483713597
670,Argentina,0.10274022249903479,0.12674038693184192,0.02785400148106491,0.0036916010795999994
12864,Italy,0.030675895410890896,0.09020943377819013,0.0007926430342681091,0.0037069213537037436
270,Argentina,0.020678317563344466,0.04957502005937176,3.779169827968614e-05,0.0005927320616830044
20248,Paraguay,0.003681927793263832,0.007560840124318329,8.463280013380487e-05,0.00013088138135138963
26791,Turkey,0.17176200614315934,0.09634371907720916,0.044352553746173105,0.016290734202964834
20711,Peru,0.026796211162031663,0.20163799951817687,0.015393321815286238,0.0023503098391429444
18958,New Zealand,2.2740347946822026e-05,2.4887558012897727e-05,1.863451147885907e-07,0.0001803729179331577
28701,Uruguay,0.0008657306844383113,0.0007207436800535183,8.061289665754434e-05,0.0001281497771624342
9645,Germany,0.04429635367095287,0.09255782375228716,0.028608547392865193,0.007356434738994864
7274,Dominican Republic,0.006704914068207019,0.004333421601205752,0.0045963579983565265,0.0003332397570688638
29461,Zimbabwe,0.00042382088564939686,0.0014643839134789024,8.552786268516341e-06,4.199544338271509e-05
26218,Tunisia,0.003033639940019513,0.008889835722207069,2.6828545526384043e-05,0.00012232603045897559
3007,Bolivia,0.005809571598038368,0.018483491585018885,0.0019021554827277772,0.0002555354995952309
28241,United States,0.3568695073206125,0.5540806635620268,0.05564652301225817,0.042344929287594875
3569,Bulgaria,0.0025224754452107317,0.008779334964629803,8.119799001796185e-06,0.00014286488519054514
24630,Sri Lanka,0.007290372313410248,0.015549746246458501,0.0111073399371214,0.0007779989455143928
26306,Tunisia,0.008230937066427694,0.0244415729733066,0.002196573492089271,0.00031192338982548697
11738,Ireland,0.001070898896001917,0.0022587947652505974,1.0138386245245926e-06,0.0002606939543252977
21757,Rwanda,0.001087143679685003,0.0011657332173241296,0.000855215905812998,0.00028147352970890366
25760,Thailand,0.050514441054757005,0.02878295859307648,0.04051696195044856,0.0026335098720676256
1797,Bahrain,0.003223796702886818,0.001380761718555566,0.0007713881771751172,0.0006873366888298124
24249,Spain,0.07940194200457178,0.09133634240501413,0.025527809963130935,0.008011193067515247
7217,Dominican Republic,0.003624642319639529,0.003689331599831959,0.001930283596054695,0.00017713002655225305
4580,Chile,0.015544096711974736,0.02825733336784408,0.005274403635032639,0.0015563958723773055
24593,Sri Lanka,0.006884558118567917,0.01487579117546923,0.010155456063760934,0.0007241280946718857
2597,Belgium,0.041786622687272255,0.03002434998675982,0.007596443444409162,0.0034441277682989617
1359,Austria,0.010766979196493063,0.014110249890992497,0.003785786140044262,0.011136120150280428
4144,Canada,0.016975716726492614,0.026299180303389288,0.015621254008692468,0.004262093070942476
24983,Switzerland,0.008067878435127185,0.010255664905954897,0.0013378379361081686,0.0007743226918415219
5939,Cyprus,0.0008594582950769461,0.0003623628446677909,0.00017344518484223385,0.0007381595690718736
21479,Romania,0.008837914070638452,0.019047941400751407,0.0003057517313430665,0.0006031575016445071
9846,Greece,0.004662053234238352,0.011900234739447178,0.001636838823292715,0.001023113997551184
10008,Greece,0.010936944503719568,0.017984744922440416,0.004398374949398968,0.003945868617347736
19566,Norway,0.001596088171517571,0.0007983928610537592,0.0015735663243168557,0.0007012041736422318
2279,Belgium,0.011011461429016387,0.023675036186509353,0.0009368844551208243,0.001299558549418154
28553,United States,0.900336196545955,0.9061719152867346,0.16822305237540025,0.0875884480106125
21463,Qatar,0.0043278664370095124,0.0006729595686687547,0.002086444438249774,0.0007880354121589891
28646,United States,0.9582265446319677,0.9888354414754141,0.17770384337556752,0.0963579522651023
21830,Saint Lucia,0.0003073705708018795,0.0003683358585908864,3.663878256949006e-05,2.2365640130611963e-05
331,Argentina,0.02642695066698815,0.05834240899615537,0.0006574019309595894,0.0008955954337847117
10198,Guatemala,0.0029080629462697846,0.007971982582691401,0.00012408827243837582,0.00015060289287714953
8133,Estonia,0.0015424322265686645,0.0012622969424141727,0.00029716622105439215,0.000167408081300624
21115,Portugal,0.009809805532320243,0.0169324989696551,0.0017825328270402213,0.0012710442222629845
22929,Slovenia,0.0035357952164010156,0.00497153858865645,0.0006469526665228426,0.0001758541419781595
1111,Australia,0.0023913073328542434,0.002133361472865593,0.011820429666384673,0.005141867036768121
20157,Panama,0.009018251137801447,0.008140222474858589,0.0024227364674056636,0.0006273017396315536
15418,Lithuania,0.0027220642842150705,0.0037261651856910476,0.00023615986047447404,0.00028510333232718865
7356,Ecuador,0.0029993062431969094,0.014913620263648834,3.7787153276886417e-06,9.342631149344516e-05
2113,Bangladesh,0.022877024955452824,0.028957171499166764,0.06583182035240133,0.00147036472071664
18515,Mozambique,0.0008268865053783213,0.0008232804190666569,0.00011911088837230724,5.8423488313932414e-05
9965,Greece,0.007828165097886098,0.014922579784533478,0.0037321499560043726,0.00231455294603992
