location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,smokers
Latvia,360710.337962963,903.4101851851852,907.5318325581395,3144.992366412214,5.9723018147086915,5.994535508637235,194909.65785185184,488.1572342592592,490.3844065116279,1699.395110687023,3.2270888252148997,3.2391209213051826,1.052229862475442,53.04587155963303,28.663247706422016,438.02108036890644,236.68446640316208,58.89171974522293,31.78284076433121,301.6624203821656,162.99174522292995,2792620.3846153845,8595.936094674556,1490.2567467455622,4.5871455621301775,8660.687350835322,4.6216897374701675,0.07966443914081145,122.3799522673031,1609120.7909407665,828586.1445993031,776146.9803571429,180606.57761732853,5107.061728395061,4957.940068493151,86.94909407665504,44.77252613240418,41.93898214285715,9.758736462093863,2679.029109589041,2305.0102739726026,0.12459760273972603,37.21131021194605,31.211999999999996,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,1850654.0,4009.144015104054,5.639391891891892,12.67581081081081,2160.3468618533784,76.6
Lebanon,612328.1220183487,1129.722681359045,1134.6171448339485,6453.813432835821,10.07929104477612,10.12227366447985,111540.37821834862,205.78786501377408,206.679426199262,1175.6128162313432,1.8359710820895523,1.8437835051546392,1.0380254154447703,,,,,,,,,4333816.0,16963.714285714286,774.9155,3.0332857142857144,13818.170731707318,2.470731707317073,,,2894881.7242990653,1579721.2202970297,1287584.7283950618,495743.55555555556,13268.684754521964,8592.150664697194,52.732406542056076,28.775767326732673,23.45451851851852,9.030277777777776,1565.1447562776957,4093.6380368098157,0.07453680981595091,54.359674641148324,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,5489744.0,6202.3345650565225,16.88826086956522,30.208260869565216,1108.167456021739,67.6
Lesotho,19042.166666666668,34.513888888888886,34.685229312063804,460.869610935857,0.7602523659305994,0.7631162790697674,8258.284386904761,14.968121031746032,15.042437686939182,199.87184016824395,0.3297160883280757,0.3309640591966173,0.5626571113561191,,,,,,,,,440259.347826087,553.0,192.97308695652174,0.242,486.42424242424244,0.2132020202020202,0.032076767676767676,71.15492957746478,601195.4166666666,537390.6666666666,593506.1052631579,89422.28571428571,,1960.006230529595,26.072083333333335,23.306190476190476,25.739473684210527,3.8785714285714286,850.2289719626168,1555.6728971962616,0.06764641744548287,44.88035306334372,73.562,22.2,4.506000000000001,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,2305826.0,,,,,54.3
Liberia,4543.769953051643,7.705550329256821,7.735790170132326,189.08221797323137,0.28107074569789675,0.2805254562920269,856.8801305164319,1.4531646284101598,1.4588544423440455,35.65792829827916,0.05301625239005736,0.05293371757925072,0.5358680203045686,,,,,,,,,139824.0,,26.923,,,,,,1463800.5405405406,1353192.972972973,1355189.7272727273,1935.642857142857,5044.5,7631.034602076124,27.605675675675673,25.51864864864865,25.55606060606061,0.03928571428571429,1439.0363321799307,6671.022491349481,0.12585640138408305,48.18990196078431,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,,19.6
Libya,280892.0066162571,479.36672967863893,481.63928300094966,3834.7559580552906,6.145038167938932,6.171085330776606,41232.79838563327,70.3673752362949,70.70097340930674,562.9128112488083,0.90206393129771,0.9058782358581017,0.8410537407797681,,,,,,,,,,3474.6263157894737,,0.5158824561403509,1276.644171779141,0.1895276073619632,0.08664171779141104,83.78375,2463476.0803571427,1705690.7589285714,861684.3578947368,103980.47916666667,8360.625,5870.998435054773,36.16142857142857,25.038214285714286,12.648736842105265,1.52625,861.7683881064163,3645.037558685446,0.05353677621283255,58.70582768635044,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,6812344.0,,,,,
Liechtenstein,7865.319109461967,19.86802973977695,20.04945497185741,54.16523400191022,0.08604206500956023,0.08566666666666667,199855.65011038963,504.84130018587354,509.4511951219513,1376.3240563514805,2.186312619502868,2.175907780979827,1.0612268518518517,,,,,,,2.4615384615384617,63.02758461538461,36126.17725752509,151.55852842809364,925.3868428093647,3.8822324414715714,151.87478849407785,3.8903350253807107,0.06526520270270271,65.39318600368324,43186.37413394919,19284.281755196305,18659.849148418492,15350.937823834196,196.97719869706842,95.24743589743589,109.73558891454965,49.00055427251733,47.41450121654501,39.00642487046632,2420.1820512820514,34.27820512820513,0.08713205128205127,34.7125266214908,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,39355.0,35.496295035185184,8.110740740740741,9.479259259259258,907.122756,
Lithuania,544001.7619943556,1225.0009416195858,1229.850792809839,5103.825141776938,9.181034482758621,9.2879406614786,197814.65043273754,445.4454943502825,447.2090425733207,1855.897275047259,3.3385402298850577,3.3773959143968875,1.0343336623889436,,,717.369003690037,260.8559372693727,34.857142857142854,12.65557142857143,,,3667728.3284671535,10606.065693430657,1316.1778588807786,3.8060316301703163,10693.788957055214,3.8375300613496934,0.1089093137254902,51.56985294117647,3228383.1138545955,1520574.8216735253,1434078.4852320675,528538.599112426,6525.858992805755,5846.596401028278,117.39349794238683,55.29260631001372,52.14725738396624,19.21878698224852,2125.9858611825193,2521.327763496144,0.09165938303341903,36.422396856581535,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,10910.494110422535,14.885704225352113,23.110281690140845,3946.223772507042,59.3
Low income,1236461.305427783,2100.3841911764707,2109.6116657433054,28411.613657623948,44.25,44.450602031394276,1676.319264949402,2.8475707720588237,2.8600895660203136,38.51873152478952,0.05995128676470589,0.06027054478301015,,,,,,,,,,,,,,,,,,108680460.00833334,79780966.65416667,64422064.69526627,7739161.568421053,360461.0777777778,359454.06944444444,14.734069444444446,10.816041666666667,8.733816568047338,1.049657894736842,487.3208333333333,267520.1277777778,0.03626527777777778,,,,,,,,,,,,,,,,737604900.0,,,,,
Lower middle income,49267812.12511171,86227.49642857142,86609.86688071748,768971.8169522092,1195.6919642857142,1200.9720744394617,14355.016151921358,25.12384732142857,25.235260986547082,224.05302164111814,0.34837321428571427,0.34991569506726455,,,,,,,,,,,,,,,,,,2664725519.001309,1382957142.9214659,1119283950.804813,280570487.3723022,6345383.461741425,6338857.7598944595,77.64137434554974,40.29465968586387,32.612179144385024,8.175107913669065,1846.94327176781,2945030.0936675463,0.08577704485488127,,,,,,,,,,,,,,,,3432097300.0,,,,,
Luxembourg,124214.96950092421,293.1322849213691,294.2968550185874,725.939138576779,1.1416510318949344,1.1407181903864279,191807.87166266172,452.6433302497687,454.44164498141265,1120.9666657303371,1.762829268292683,1.7614655984919887,1.077737512242899,10.269016697588127,15.856919294990725,54.97067171239357,84.88354115421004,5.7214285714285715,9.002528571428572,38.10967741935484,58.932832258064515,2312094.2195985834,5094.644549763033,3616.484085005903,7.968837677725118,5100.820665083135,7.978495249406175,0.08723730814639906,87.65869047619049,923188.6820809249,381818.25433526014,18687.133333333335,240593.96935483871,2066.8852988691438,1775.437984496124,142.55517341040465,58.95898843930636,2.8850666666666664,37.15137096774193,2741.5658914728683,623.2157622739018,0.09618087855297158,39.59665388302972,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,-45.05930805427587,-1.597103448275862,0.0926896551724139,-70.67882649310344,46.9
